< function , None >
< id , potencia >
< int , None >
< parAbierto , None >
< int , None >
< id , z >
< coma , None >
< int , None >
< id , dim >
< parCerrado , None >
< llaveAbierto , None >
< let , None >
< int , None >
< id , s >
< puntoComa , None >
< int , None >
< id , s >
< asig , None >
< cteEnt , 0 >
< puntoComa , None >
< do , None >
< llaveAbierto , None >
< id , z >
< por , None >
< asig , None >
< id , z >
< puntoComa , None >
< print , None >
< parAbierto , None >
< cadena , Potencia:  >
< parCerrado , None >
< puntoComa , None >
< print , None >
< parAbierto , None >
< id , z >
< parCerrado , None >
< puntoComa , None >
< id , s >
< postIncrem , None >
< puntoComa , None >
< llaveCerrado , None >
< while , None >
< parAbierto , None >
< id , s >
< id , dim >
< parCerrado , None >
< llaveCerrado , None >
< eof , None >
